what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.debug.ui,3.0.0.v20110516-1100,"org.eclipse.php.debug.ui",1460445155438
started,bundle,org.eclipse.php.ui,3.0.0.v20110516-1100,"org.eclipse.php.ui",1460445155485
started,bundle,org.eclipse.php.core,3.0.0.v20110516-1100,"org.eclipse.php.core",1460445155672
started,bundle,org.eclipse.dltk.core.index.sql,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql",1460445155828
started,bundle,org.eclipse.dltk.core.index.sql.h2,3.0.0.v20110423,"org.eclipse.dltk.core.index.sql.h2",1460445157579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445158297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445158437
started,bundle,com.android.ide.eclipse.traceview,22.2.1.v201309180102-833290,"com.android.ide.eclipse.traceview",1460445163710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445163774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445222324
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1460445222418
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1460445222808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445235397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445279124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1460445279139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445283585
error,log,,,"New Project Wizard failed",1460445307609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445313085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460445313147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445325191
error,log,,,"New Project Wizard failed",1460445344800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445351258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460445351289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445361242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445566523
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460445566539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445573293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445645522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1460445645537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445651840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445654460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1460445654476
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460445719669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1460446052709
